S.no,Menu,Questions,Query,Table name,Result & Answer Format,Question with Facility Code
11,Calibration Order,Which calibrations were marked 'Completed' and have an error % > 0 5 in post calibration reading,"SELECT calibration_id,
m.calibration_facility_code, m.calibration_instrument_code, post.calibration_post_calibration_error_percentage
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_post_calibration post ON m.calibration_id = post.calibration_post_calibration_calibration_id
WHERE calibration_facility_code in ('SRP-WPB-PRS') and post.calibration_post_calibration_error_percentage <> ''
AND CAST(post.calibration_post_calibration_error_percentage AS NUMERIC) > 0.5","calibrationmasterdetails, calibration_post_calibration","Calibration ID : SRIP-CO000749
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S127
Error Percentage: 0.60","#User Facility#
['SRP-WPB-PRS']

User Query: Which calibrations were marked 'Completed' and have an error % > 0 5 in post calibration reading"
12,Calibration Order,Which calibrations had mismatching in pre and post observed readings,"SELECT calibration_id, m.calibration_facility_code, m.calibration_instrument_code
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_pre_calibration pre ON m.calibration_id = pre.calibration_pre_calibration_calibration_id
JOIN ai.calibration_post_calibration post ON m.calibration_id = post.calibration_post_calibration_calibration_id
WHERE calibration_facility_code in ('SRP-WPB-PRS') and pre.calibration_pre_calibration_observed_reading != post.calibration_post_calibration_observed_reading","calibrationmasterdetails, calibration_pre_calibration, calibration_post_calibration","Calibration ID : SRIP-CO000742
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S190","#User Facility#
['SRP-WPB-PRS']

User Query: Which calibrations had mismatching in pre and post observed readings"
13,Calibration Order,List calibration orders that had a different observed reading in pre and post calibration,"SELECT calibration_id, m.calibration_facility_code, m.calibration_instrument_code
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_pre_calibration pre ON m.calibration_id = pre.calibration_pre_calibration_calibration_id
JOIN ai.calibration_post_calibration post ON m.calibration_id = post.calibration_post_calibration_calibration_id
WHERE calibration_facility_code in ('SRP-WPB-PRS') and pre.calibration_pre_calibration_error_percentage != post.calibration_post_calibration_error_percentage","calibrationmasterdetails, calibration_pre_calibration, calibration_post_calibration","Calibration ID : SRIP-CO000660
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-30011","#User Facility#
['SRP-WPB-PRS']

User Query: List calibration orders that had a different observed reading in pre and post calibration"
14,Calibration Order,List of calibrations calibrated by G KARTHIKEYAN along with the facility,"SELECT calibration_id,calibration_facility_code, calibration_instrument_code
FROM ai.calibrationmasterdetails
WHERE calibration_facility_code in ('SRP-WPB-PRS') and calibration_completed_by ilike '%G%KARTHIKEYAN%'",calibrationmasterdetails,"Calibration ID : SRIP-CO000751
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S190","#User Facility#
['SRP-WPB-PRS']

User Query: List of calibrations calibrated by G KARTHIKEYAN along with the facility"
15,Calibration Order,List calibration orders with pre-calibration standard reading = 10,"SELECT m.calibration_id, m.calibration_facility_code, m.calibration_instrument_code, p.calibration_pre_calibration_standard_reading
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_pre_calibration p ON m.calibration_id = p.calibration_pre_calibration_calibration_id 
WHERE m.calibration_facility_code in ('SRP-WPB-PKG') and p.calibration_pre_calibration_standard_reading::integer = 10","calibrationmasterdetails, calibration_pre_calibration","Calibration ID : SRIP-CO000722
Calibration Facility Code: SRP-WPB-PKG
Calibration Instrument Code: LC-S162-11
Standard Reading: 10","#User Facility#
['SRP-WPB-PKG']

User Query: List calibration orders with pre-calibration standard reading = 10"
16,Calibration Order,List calibration orders with post-calibration observed reading > 2010,"SELECT m.calibration_id, m.calibration_facility_code, m.calibration_instrument_code, p.calibration_post_calibration_observed_reading
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_post_calibration p ON m.calibration_id = p.calibration_post_calibration_calibration_id
WHERE calibration_facility_code in ('SRP-WPB-PRS') and p.calibration_post_calibration_observed_reading <> ''
AND CAST(p.calibration_post_calibration_observed_reading AS NUMERIC) > 2010","calibrationmasterdetails, calibration_post_calibration","Calibration ID : SRIP-CO000742
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S190
Observed Reading: 5922","#User Facility#
['SRP-WPB-PRS']

User Query: List calibration orders with post-calibration observed reading > 2010"
17,Calibration Order,Find calibration order with pre-calibration error percentage <= 1,"SELECT m.calibration_id, m.calibration_facility_code, m.calibration_instrument_code, p.calibration_pre_calibration_error_percentage
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_pre_calibration p ON m.calibration_id = p.calibration_pre_calibration_calibration_id
WHERE calibration_facility_code in ('SRP-WPB-PKG') and p.calibration_pre_calibration_error_percentage <> ''
AND CAST(p.calibration_pre_calibration_error_percentage AS NUMERIC) <= 1","calibrationmasterdetails, calibration_pre_calibration","Calibration ID : SRIP-CO000722
Calibration Facility Code: SRP-WPB-PKG
Calibration Instrument Code: LC-S162-11
Error percentage: -0.10","#User Facility#
['SRP-WPB-PKG']

User Query: Find calibration order with pre-calibration error percentage <= 1"
18,Calibration Order,Find calibration orders where pre and post standard readings are the same,"SELECT m.calibration_id, m.calibration_facility_code, m.calibration_instrument_code,pre.calibration_pre_calibration_standard_reading,post.calibration_post_calibration_standard_reading
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_pre_calibration pre ON m.calibration_id = pre.calibration_pre_calibration_calibration_id
JOIN ai.calibration_post_calibration post ON m.calibration_id = post.calibration_post_calibration_calibration_id
WHERE calibration_facility_code in ('SRP-WPB-PRS') and pre.calibration_pre_calibration_standard_reading = post.calibration_post_calibration_standard_reading","calibrationmasterdetails, calibration_pre_calibration, calibration_post_calibration","Calibration ID : SRIP-CO000742
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S190
Pre Calibration Standard Reading: 10
Post Calibration Standard Reading: 10","#User Facility#
['SRP-WPB-PRS']

User Query: Find calibration orders where pre and post standard readings are the same"
19,Calibration Order,Get calibration orders with same observed readings in pre and post calibration,"SELECT m.calibration_id, m.calibration_facility_code, m.calibration_instrument_code,pre.calibration_pre_calibration_observed_reading,post.calibration_post_calibration_observed_reading
FROM ai.calibrationmasterdetails m
JOIN ai.calibration_pre_calibration pre ON m.calibration_id = pre.calibration_pre_calibration_calibration_id
JOIN ai.calibration_post_calibration post ON m.calibration_id = post.calibration_post_calibration_calibration_id
WHERE calibration_facility_code in ('SRP-WPB-PRS') and pre.calibration_pre_calibration_observed_reading = post.calibration_post_calibration_observed_reading","calibrationmasterdetails, calibration_pre_calibration, calibration_post_calibration","Calibration ID : SRIP-CO000742
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S190
Pre Calibration Observed Reading: 10
Post Calibration Observed Reading: 10","#User Facility#
['SRP-WPB-PRS']

User Query: Get calibration orders with same observed readings in pre and post calibration"
20,Calibration Order,"Find instruments that were discarded and their reasons, grouped by facility","SELECT calibration_facility_code, calibration_instrument_code, calibration_instrument_discarded_reason FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('SRP-EMU') and calibration_instrument_discarded = 'Yes' group by calibration_facility_code,calibration_instrument_code,calibration_instrument_discarded_reason",calibrationmasterdetails,"Calibration Facility Code: SRP-EMU
Calibration Instrument Code: TE-S814
Discarded reason : SCRAP","#User Facility#
['SRP-EMU']

User Query: Find instruments that were discarded and their reasons, grouped by facility"
21,Calibration Order,List calibrations where instruments were not fit for use,"SELECT calibration_id,calibration_facility_code, calibration_instrument_code FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('SRP-EMU') and calibration_instrument_fit_for_use = 'N'",calibrationmasterdetails,"Calibration ID : SRIP-CO000742
Calibration Facility Code: SRP-EMU
Calibration Instrument Code: TE-S814","#User Facility#
['SRP-EMU']

User Query: List calibrations where instruments were not fit for use"
22,Calibration Order,Count of calibration records with dynamic calibration done,"SELECT calibration_facility_code, calibration_instrument_code, COUNT(*) as count FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('SRP-UTL') and calibration_dynamic_calibration_done = 'Y' GROUP BY calibration_facility_code, calibration_instrument_code",calibrationmasterdetails,"Facility Code: SRP-UTL
Instrument Code: FLM-S105
No of Orders : 2","#User Facility#
['SRP-UTL']

User Query: Count of calibration records with dynamic calibration done"
23,Calibration Order,Calibration order with no pre-calibration readings recorded,"SELECT calibration_id,calibration_facility_code, calibration_instrument_code FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('MYS-WPB-MIX') and calibration_id NOT IN (SELECT calibration_pre_calibration_calibration_id FROM ai.calibration_pre_calibration)",calibrationmasterdetails,"Calibration ID : SRIP-CO000742
Calibration Facility Code: MYS-WPB-MIX
Calibration Instrument Code: TIT-1144002","#User Facility#
['MYS-WPB-MIX']

User Query: Calibration order with no pre-calibration readings recorded"
24,Calibration Order,Which instrument is requiring adjustment during calibration,"SELECT calibration_id,calibration_facility_code, calibration_instrument_code,calibration_adjustments_done FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('SRP-UTL') and calibration_adjustments_done = 'Y'",calibrationmasterdetails,"Calibration ID : SRIP-CO001303
Calibration Facility Code: SRP-UTL
Calibration Instrument Code: FLM-S105
Calibration_adjustments_done: Yes","#User Facility#
['SRP-UTL']

User Query: Which instrument is requiring adjustment during calibration"
25,Calibration Order,Calibrations completed by each user by facility and instrument,"SELECT calibration_facility_code, calibration_instrument_code, calibration_completed_by, COUNT(*) FROM ai.calibrationmasterdetails WHERE calibration_facility_code IN ('MYS-WPB-PRS') AND (calibration_completed_by IS NOT NULL AND calibration_completed_by <> '') GROUP BY calibration_facility_code, calibration_instrument_code, calibration_completed_by;",calibrationmasterdetails,"Calibration Facility Code: MYS-WPB-PRS
Calibration Instrument Code: WIT-1128001
Completed by: Shivanna nayaka G S
Completed Orders : 2","#User Facility#
['MYS-WPB-PRS']

User Query: Calibrations completed by each user by facility and instrument"
26,Calibration Order,Identify calibration orders where the sticker is not affixed,"SELECT calibration_id, calibration_facility_code, calibration_instrument_code FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('MYS-WPB-PRS') and calibration_sticker_affixed = 'false'",calibrationmasterdetails,"Calibration ID : MYS-CO001303
Calibration Facility Code: MYS-WPB-PRS
Calibration Instrument Code: WIT-1128001
Calibration_sticker_affixed: No","#User Facility#
['MYS-WPB-PRS']

User Query: Identify calibration orders where the sticker is not affixed"
27,Calibration Order,List all completed flow meter calibrations with facility and instrument code,"SELECT calibration_id, calibration_facility_code, calibration_instrument_code, calibration_status
FROM ai.calibrationmasterdetails left join ai.instrument_master on calibration_instrument_code = instrument_code
WHERE calibration_facility_code in ('SRP-UTL') and calibration_status = 'Completed' and instrument_type ilike '%flow%meter%'",calibrationmasterdetails,"Calibration ID : SRIP-CO001303
Calibration Facility Code: SRP-UTL
Calibration Instrument Code: FLM-S105
Calibration Status: Completed","#User Facility#
['SRP-UTL']

User Query: List all completed flow meter calibrations with facility and instrument code"
28,Calibration Order,List instruments calibrated in SRIP-WPB-PRS facility,"SELECT calibration_id, calibration_facility_code, calibration_instrument_code
FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('SRP-WPB-PRS')",calibrationmasterdetails,"Calibration ID : SRIP-CO001147
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S172","#User Facility#
['SRP-WPB-PRS']

User Query: List instruments calibrated in SRIP-WPB-PRS facility"
29,Calibration Order,Find calibrations done by G KARTHIKEYAN,"SELECT calibration_id, calibration_facility_code, calibration_instrument_code, calibration_completed_by
FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('SRP-WPB-PRS') and calibration_completed_by ilike '%G%KARTHIKEYAN%'",calibrationmasterdetails,"Calibration ID : SRIP-CO000751
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-S190
Calibration Completed By: G KARTHIKEYAN","#User Facility#
['SRP-WPB-PRS']

User Query: Find calibrations done by G KARTHIKEYAN"
30,Calibration Order,Find calibrations approved by Samidha Ratho,"SELECT calibration_id, calibration_facility_code, calibration_instrument_code, calibration_approver
FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('MYS-WPB-MIX') and calibration_approver ilike '%Samidha%Ratho%'",calibrationmasterdetails,"Calibration ID :CO014461
Calibration Facility Code: MYS-WPB-MIX
Calibration Instrument Code: PS-1149001
Calibration Approver: Samidha Ratho","#User Facility#
['MYS-WPB-MIX']

User Query: Find calibrations approved by Samidha Ratho"
31,Calibration Order,Find instruments where calibration was created manually,"SELECT calibration_id, calibration_facility_code, calibration_instrument_code from ai.calibrationmasterdetails WHERE calibration_facility_code in ('SRP-UTL') and calibration_created_from = 'Manual'",calibrationmasterdetails,"Calibration ID : SRIP-CO001303
Calibration Facility Code: SRP-UTL
Calibration Instrument Code: FLM-S105","#User Facility#
['SRP-UTL']

User Query: Find instruments where calibration was created manually"
32,Calibration Order,Show calibration where least count is recorded as 0.01,"SELECT calibration_id, calibration_facility_code, calibration_instrument_code, calibration_least_count
FROM ai.calibrationmasterdetails
WHERE calibration_facility_code in ('SRP-UTL') and calibration_least_count = '0.01'",calibrationmasterdetails,"Calibration ID : SRIP-CO001303
Calibration Facility Code: SRP-UTL
Calibration Instrument Code: FLM-S105
Calibration Least Count: 0.01","#User Facility#
['SRP-UTL']

User Query: Show calibration where least count is recorded as 0.01"
33,Calibration Order,List calibration that had pre calibration checks completed,"SELECT calibration_id, calibration_facility_code, calibration_instrument_code
FROM ai.calibrationmasterdetails
WHERE calibration_facility_code in ('SRP-UTL') and calibration_pre_calibration_checks_done = 'Yes'",calibrationmasterdetails,"Calibration ID : SRIP-CO001303
Calibration Facility Code: SRP-UTL
Calibration Instrument Code: FLM-S105
Calibration_pre_calibration_checks_done: Yes","#User Facility#
['SRP-UTL']

User Query: List calibration that had pre calibration checks completed"
34,Calibration Order,List calibration with instrument codes where flow difference recorded,"SELECT calibration_id, m.calibration_facility_code, m.calibration_instrument_code, d.calibration_flow_meter_difference_error
FROM ai.calibrationmasterdetails m
Left JOIN ai.calibration_flow_meter_difference d
ON m.calibration_id = d.calibration_flow_meter_difference_calibration_id WHERE calibration_facility_code in ('SRP-EMU')","calibrationmasterdetails, calibration_flow_meter_difference","Calibration ID : SRIP-CO001742
Calibration Facility Code: SRP-WPB-PRS
Calibration Instrument Code: LC-30013
Calibration Flow Meter Difference Error: -12.2000","#User Facility#
['SRP-EMU']

User Query: List calibration with instrument codes where flow difference recorded"
35,Calibration Order,Find calibrations where the error is less than 3% from the flow meter difference,"SELECT calibration_id, m.calibration_facility_code, m.calibration_instrument_code,
d.calibration_flow_meter_difference_error
FROM ai.calibrationmasterdetails m
Left JOIN ai.calibration_flow_meter_difference d
ON m.calibration_id = d.calibration_flow_meter_difference_calibration_id
WHERE calibration_facility_code in ('SRP-EMU') and d.calibration_flow_meter_difference_error < '3'","calibrationmasterdetails, calibration_flow_meter_difference","Calibration ID : SRIP-CO001747
Calibration Facility Code: SRP-EMU
Calibration Instrument Code: LC-S897
Calibration Flow Meter Difference Error: 14.6000","#User Facility#
['SRP-EMU']

User Query: Find calibrations where the error is less than 3% from the flow meter difference"
36,Calibration Order,How many calibration orders belong to the internal category,"SELECT COUNT(*)
 FROM ai.calibrationmasterdetails
 WHERE calibration_category ilike '%internal%' and calibration_facility_code in ('SRP-WPB-PKG');",calibrationmasterdetails,No of orders belong to internal category: 10,"#User Facility#
['SRP-WPB-PKG']

User Query: How many calibration orders belong to the internal category"
37,Calibration Order,how many calibration orders are open,"SELECT COUNT(*) FROM ai.calibrationmasterdetails WHERE calibration_status NOT in ('Closed', 'Completed', 'Cancelled')
AND calibration_facility_code in ('SRP-WPB-PKG');",calibrationmasterdetails,Open Calibration Orders: 10,"#User Facility#
['SRP-WPB-PKG']

User Query: how many calibration orders are open"
38,Calibration Order,List calibration orders that are open,"SELECT calibration_id, calibration_facility_code,calibration_instrument_name, calibration_category, calibration_status FROM ai.calibrationmasterdetails WHERE calibration_status NOT in ('Closed', 'Completed', 'Cancelled')
AND calibration_facility_code in ('SRP-WPB-PKG');",calibrationmasterdetails,"Calibration ID : SRIP-CO001747
Calibration Facility Code: SRP-EMU
Calibration Instrument Code: LC-S897
Calibration Category: Internal
Calibration Status: Initiated","#User Facility#
['SRP-WPB-PKG']

User Query: List calibration orders that are open"
39,Calibration Order,List calibration orders that are in initiated status,"SELECT calibration_id, calibration_instrument_name, calibration_category, calibration_facility_code, calibration_status
 FROM ai.calibrationmasterdetails
 WHERE calibration_status in ('Initiated') and calibration_facility_code in ('SRP-WPB-PKG');",calibrationmasterdetails,"Calibration ID : SRIP-CO001747
Calibration Facility Code: SRP-EMU
Calibration Instrument Code: LC-S897
Calibration Category: Internal
Calibration Status: Initiated","#User Facility#
['SRP-WPB-PKG']

User Query: List calibration orders that are in initiated status"
40,Calibration Order,How many calibration orders are Cancelled,"SELECT COUNT(*)
 FROM ai.calibrationmasterdetails
 WHERE calibration_status in ('Cancelled') and calibration_facility_code in ('SRP-WPB-PKG');",calibrationmasterdetails,No of Orders Cancelled: 13,"#User Facility#
['SRP-WPB-PKG']

User Query: How many calibration orders are Cancelled"
41,Calibration Order,How many calibration orders are Reopened,"SELECT COUNT(*)
 FROM ai.calibrationmasterdetails
 WHERE calibration_status in ('Reopened') and calibration_facility_code in ('SRP-WPB-PKG');",calibrationmasterdetails,No of Orders Reopened: 13,"#User Facility#
['SRP-WPB-PKG']

User Query: How many calibration orders are Reopened"
42,Calibration Order,How many completed calibration orders belong to the external category,"SELECT COUNT(*)
FROM ai.calibrationmasterdetails
WHERE calibration_category ilike '%External%'
AND calibration_status = 'Completed' and calibration_facility_code in ('SRP-WPB-PKG');",calibrationmasterdetails,No of completed orders belong to external category: 10,"#User Facility#
['SRP-WPB-PKG']

User Query: How many completed calibration orders belong to the external category"
43,Calibration Order,Can you list all instruments that were calibrated last month,"SELECT im.instrument_code,
cmd.calibration_id,
cmd.calibration_date,
cmd.calibration_facility_code,cmd.calibration_category, cmd.calibration_status
FROM ai.instrument_master im
JOin ai.calibrationmasterdetails cmd
ON im.instrument_code = cmd.calibration_instrument_code
WHERE cmd.calibration_date >= date_trunc('month', CURRENT_DATE - INTERVAL '1 month')
AND cmd.calibration_date < date_trunc('month', CURRENT_DATE)
AND cmd.calibration_facility_code in ('SRP-WPB-PKG')
ORDER BY cmd.calibration_date;","instrument_master,calibration_master_instrument_details,calibrationmasterdetails","Calibration ID : SRIP-CO001747
Calibration Facility Code: SRP-WPB-PKG
Calibration Instrument Code: LC-S897
Calibration Category: Internal
Calibration Status: Initiated
Calibration Date: 13-Jul-2025","#User Facility#
['SRP-WPB-PKG']

User Query: Can you list all instruments that were calibrated last month"
44,Calibration Order,Can you identify instruments that have been installed before 2022 and pending for calibration,"SELECT im.instrument_code,
im.instrument_installation_date,
cmd.calibration_id,
cmd.calibration_status,
cmd.calibration_facility_code,cmd.calibration_category, cmd.calibration_status
FROM ai.instrument_master im
LEFT JOin ai.calibrationmasterdetails cmd
ON im.instrument_code = cmd.calibration_instrument_code
WHERE im.instrument_installation_date < '2023-01-01'
and cmd.calibration_status not in ('Closed','Completed','Cancelled')
AND cmd.calibration_facility_code in ('SRP-WPB-PKG') ORDER BY im.instrument_installation_date;","instrument_master,calibration_master_instrument_details,calibrationmasterdetails","Calibration ID : SRIP-CO001747
Calibration Facility Code: SRP-WPB-PKG
Calibration Instrument Code: LC-S897
Calibration Category: Internal
Calibration Status: Initiated
Calibration Date: 13-Jul-2025
Installation Date: 03-Jan-2022","#User Facility#
['SRP-WPB-PKG']

User Query: Can you identify instruments that have been installed before 2022 and pending for calibration"
45,Calibration Order,How many calibration orders are pending for final approval but have a missing certificate,"SELECT COUNT(DISTinCT cmd.calibration_id) AS pending_approval_missing_certificate_count
FROM ai.calibrationmasterdetails cmd
JOin ai.calibration_master_instrument_details cmid
ON cmd.calibration_id = cmid.calibration_master_instrument_details_calibration_order_number
WHERE cmd.calibration_approver_status ILIKE '%Waiting%for%Approval%'
AND cmid.calibration_master_instrument_details_certificate_number IS NULL
AND cmd.calibration_facility_code in ('SRP-WPB-PKG');","instrument_master,calibration_master_instrument_details,calibrationmasterdetails",No of pending approval orders: 13,"#User Facility#
['SRP-WPB-PKG']

User Query: How many calibration orders are pending for final approval but have a missing certificate"
46,Calibration Order,How many calibration orders were completed in the last quarter,"SELECT COUNT(*) AS completed_last_quarter
FROM ai. calibrationmasterdetails
WHERE calibration_status in ('Closed','Completed')
AND calibration_completion_date >= date_trunc('quarter', CURRENT_DATE - INTERVAL '3 months')
AND calibration_completion_date < date_trunc('quarter', CURRENT_DATE)
AND calibration_facility_code in ('SRP-WPB-PKG');","instrument_master,calibration_master_instrument_details,calibrationmasterdetails",Last quarter completed orders: 345,"#User Facility#
['SRP-WPB-PKG']

User Query: How many calibration orders were completed in the last quarter"
47,Calibration Order,Which calibration orders were completed within the last 30 days,"SELECT calibration_id,
calibration_facility_code,
calibration_instrument_code,
calibration_completion_date,calibration_category,
calibration_status
FROM ai.calibrationmasterdetails
WHERE calibration_status in ('Closed','Completed')
AND calibration_facility_code in ('SRP-WPB-PKG')
AND calibration_completion_date BETWEEN CURRENT_DATE - INTERVAL '30 days' AND CURRENT_DATE
ORDER BY calibration_completion_date DESC;","instrument_master,calibration_master_instrument_details,calibrationmasterdetails","Calibration ID : SRIP-CO001747
Calibration Facility Code:SRP-WPB-PKG
Calibration Instrument Code: LC-S897
Calibration Category: Internal
Calibration Status: Completed
Calibration Date: 13-Jul-2025
Completion Date: 14-Jul-2025","#User Facility#
['SRP-WPB-PKG']

User Query: Which calibration orders were completed within the last 30 days"
48,Calibration Order,How many calibration orders were completed without any certificates issued,"SELECT COUNT(*) FROM ai.calibrationmasterdetails cmd
LEFT JOin ai.calibration_master_instrument_details cmid ON cmd.calibration_id = cmid.calibration_master_instrument_details_calibration_order_number
WHERE cmd.calibration_status = 'Completed'
AND calibration_facility_code in ('SRP-WPB-PKG')
AND (cmid.calibration_master_instrument_details_certificate_number IS NULL OR cmid.calibration_master_instrument_details_certificate_number = '');","instrument_master,calibration_master_instrument_details,calibrationmasterdetails",No of orders completed without certificate: 23,"#User Facility#
['SRP-WPB-PKG']

User Query: How many calibration orders were completed without any certificates issued"
